Names;Email;Phones
Якутский специализированный стоматологический центр;;+7‒914‒2‒701‒713
Стоматологическая поликлиника, Республиканская больница №3;;+7 (4112) 35‒37‒75, +7 (4112) 35‒37‒55
Стоматологическая поликлиника, Северо-Восточный федеральный университет им. М.К. Аммосова;;+7 (4112) 49‒66‒50, +7‒914‒286‒69‒04
Стоматологическая поликлиника, Якутская больница Дальневосточного окружного медицинского центра;;+7 (4112) 21‒85‒09
Станция скорой медицинской помощи г. Якутска;;103
Скорая медицинская помощь;;103
Травматологический пункт №1;;+7 (4112) 43‒20‒30
Якутская государственная сельскохозяйственная академия;;
Арктический государственный институт культуры и искусств;;
Якутский институт водного транспорта, филиал Сибирского государственного университета водного транспорта;;+7 (4112) 21‒76‒20, +7 (4112) 21‒80‒63, +7 (4112) 21‒79‒63, +7 (4112) 21‒76‒21, +7 (4112) 21‒84‒82
Якутский экономико-правовой институт;;+7 (4112) 35‒06‒12
Якутский институт экономики, филиал Санкт-Петербургского университета технологии управления и экономики;;
Восточно-Сибирский институт экономики и менеджмента, НОУ;;+7 (4112) 36‒97‒92, +7 (4112) 36‒91‒91
ИНСТИТУТ АЭРОНАВИГАЦИИ, НОУ ДПО, филиал в Северо-Восточной Сибири;;+7 (4112) 49‒52‒32, +7 (4112) 49‒53‒69
Высшая школа музыки (институт) Республики Саха (Якутия);;
Институт государственного администрирования, Якутский филиал;;+7 (4112) 36‒42‒73, +7 (4112) 36‒71‒85
Московский институт государственного управления и права, Якутский филиал;;
Якутский гуманитарный институт;;+7 (4112) 32‒09‒89, +7 (4112) 35‒19‒73
Северо-Восточный федеральный университет им. М.К. Аммосова;;
Сибирский университет потребительской кооперации, Якутский филиал;;+7 (4112) 32‒01‒08, +7‒914‒2‒72‒20‒25
Автошкола-Успех, НОУ, учебный центр;;+7‒914‒101‒90‒90, +7‒914‒2‒727‒628
Автошкола №1;;+7 (4112) 40‒25‒25, +7 (4112) 74‒74‒10
Фаворит, автошкола;;+7 (4112) 72‒53‒13, +7‒914‒2‒725‒313
ДОСААФ России Республика Саха (Якутия), учебный центр;;
Регион 14, автошкола;;+7 (4112) 26‒04‒26, +7‒924‒766‒04‒26
Авто-Эксперт, учебный центр;;+7 (4112) 25‒30‒33, +7‒914‒2‒785‒183
Авангард, автошкола;;+7 (4112) 26‒25‒15, +7‒924‒766‒25‒15
Автошкола;;+7‒914‒271‒47‒75
Арт-Авто, автошкола;;+7 (4112) 34‒44‒92, +7‒914‒2‒700‒678, +7‒914‒2‒703‒098
Респект-Авто, автошкола;;+7‒914‒2‒712‒987
Север-Авто, учебный центр;;+7‒914‒2‒718‒662
Автошкола, Якутский автодорожный техникум;;+7‒914‒2‒703‒013
Саха-Авто, автошкола;;+7‒914‒2‒721‒273
Автоинлайн, автошкола;;+7 (4112) 24‒00‒01
Автошкола, Якутский индустриально-педагогический колледж;;+7 (4112) 47‒08‒28
Автошкола, Якутский сельскохозяйственный техникум;;+7 (4112) 42‒30‒19
Институт развития профессионального образования, ГАУ ДПО;;+7 (4112) 32‒01‒36, +7 (4112) 32‒00‒76
Институт развития образования и повышения квалификации Республики Саха (Якутия);;+7 (4112) 42‒54‒65, +7 (4112) 42‒20‒69
Профресурс, многофункциональный центр прикладных квалификаций;;+7 (4112) 32‒02‒60, +7‒914‒2‒709‒760
Безопасность, АНО ДПО, учебный центр;;+7 (4112) 47‒42‒92, +7‒914‒226‒48‒48
Институт новых технологий Республики Саха (Якутия);;+7 (4112) 43‒57‒07, +7 (4112) 43‒57‒08, +7 (4112) 40‒23‒00
Высшая школа инновационного менеджмента при Главе Республики Саха (Якутия);;+7 (4112) 42‒38‒55, +7 (4112) 34‒36‒45
Ратник, ООО, частное охранное предприятие;;+7‒914‒227‒01‒44, +7 (4112) 21‒09‒70, +7 (4112) 21‒09‒69
Учебно-курсовой комбинат ЖКХ;;+7 (4112) 35‒34‒30, +7 (4112) 35‒32‒81
СахаТехКонсалт, группа компаний;;+7‒914‒270‒20‒28, +7 (4112) 21‒93‒88, +7 (4112) 26‒06‒88
Бизнес-школа;;+7 (4112) 34‒03‒38, +7 (4112) 34‒15‒79, +7‒924‒860‒16‒13, +7‒924‒860‒16‒14
Мастер-Спец, учебно-производственный центр;;+7 (4112) 36‒73‒69, +7 (4112) 32‒12‒19, +7‒924‒862‒97‒53
Институт непрерывного профессионального образования;;
Ресурсно-проектный центр, ГБУ;;+7 (4112) 42‒58‒55, +7 (4112) 32‒55‒51, +7 (4112) 34‒22‒14
Базовый региональный центр охраны труда, СВФУ им. М.К. Аммосова;;+7 (4112) 42‒54‒29
Центр развития профессиональных компетенций, ГАПОУ РС(Я);;+7 (4112) 35‒31‒23
Учебно-производственный центр подготовки персонала энергетики;;+7 (4112) 49‒34‒00, +7 (4112) 49‒34‒61
Учебный центр подготовки кадров, АНО ДПО;;+7‒924‒860‒22‒00, +7‒984‒115‒10‒80, +7‒914‒2‒701‒661
Гарант, ЧУ ДПО, центр обучения безопасному обращению с гражданским и травматическим оружием;;+7‒914‒100‒70‒50, +7‒914‒221‒96‒61
АТОН Экобезопасность и охрана труда, испытательная лаборатория;;8‒800‒100‒14‒45, 8‒800‒555‒35‒18
Учебный центр по экологической и промышленной безопасности Республики Саха (Якутия), АНО;;8‒800‒234‒46‒78
Профессионал, ООО;;+7 (4112) 40‒25‒25, +7 (4112) 74‒74‒10
Научно-образовательный центр агротехнологического образования, экологии и туризма, ГАУ;;+7 (4112) 42‒55‒91, +7 (4112) 42‒55‒87, +7 (4112) 507‒377
Якутский центр технической информации, учебный центр;;+7 (4112) 40‒53‒86, +7‒984‒107‒07‒23
Институт развития современных образовательных технологий;;+7 (4112) 325‒827, +7‒914‒272‒37‒45
Развитие, АНО ДПО, учебный центр;;+7 (4112) 32‒02‒49, +7‒984‒105‒21‒30
Учитель, центр репетиторства и ментальной арифметики;;+7‒984‒104‒16‒97, +7‒924‒594‒13‒33
Учебный пункт, 5 отряд ФПС по Республике Саха (Якутия);;+7 (4112) 36‒11‒51, +7 (4112) 36‒04‒30
Специалист, НОУ, учебный центр;;+7‒924‒169‒07‒75
Промстройгаз, АНО ДПО, учебный центр;;+7‒924‒173‒93‒74
Учебный центр закупок, СВФУ им. М.К. Аммосова;;+7 (4112) 36‒09‒52, +7 (4112) 35‒21‒22
HR-management, кадровый центр;;+7‒924‒866‒87‒18
Нордэкс, ООО, экспертно-аттестационный центр;;+7‒914‒225‒65‒30
Бизнес-Технологии, ООО, компания;;+7‒914‒2‒712‒880
Мониторинг-ПРО;;8‒800‒550‒27‒17
Центр комплексной энергоэффективности;;+7‒914‒293‒62‒79, +7 (4112) 49‒66‒85
TopProf, центр обучения и развития профессиональных кадров;;+7‒924‒592‒73‒34
Агентство Лоис, ООО, бухгалтерская компания;;+7 (4112) 25‒85‒95, +7‒924‒765‒85‒95
Берегиня, центр помощи и комплексного сопровождения детей-сирот и детей с ограниченными возможностями, оставшихся без попечения родителей;;+7 (4112) 23‒00‒34, +7 (4112) 23‒00‒35, +7 (4112) 23‒17‒96
Умка, детский сад №105;;+7 (4112) 42‒98‒69, +7 (4112) 42‒98‒82, +7 (4112) 42‒93‒90
Колокольчик, детский сад №86;;+7 (4112) 22‒53‒54, +7 (4112) 22‒59‒32
Остров Сокровищ, детский сад №7;;+7 (4112) 40‒37‒75, +7 (4112) 40‒37‒74, +7 (4112) 40‒37‒76
Детский сад №88 комбинированного вида;;+7 (4112) 33‒58‒90
Туллукчаан, детский сад №10;;
Парус, детский сад №89;;+7 (4112) 35‒16‒22, +7 (4112) 35‒16‒28
Кэнчээри, детский сад №21;;+7 (4112) 35‒01‒35, +7 (4112) 35‒04‒44
Подснежник, детский сад №11 для детей с нарушением зрения;;+7 (4112) 34‒18‒28, +7 (4112) 34‒18‒54
Кустук, центр развития ребенка-детский сад №26;;+7 (4112) 43‒65‒65, +7 (4112) 43‒65‒83
Золотинка, детский сад №16;;+7 (4112) 45‒03‒89, +7 (4112) 45‒02‒44, +7 (4112) 45‒01‒65
Катюша, детский сад №3;;+7 (4112) 21‒26‒06
Радуга, детский сад №5;;+7 (4112) 23‒04‒21, +7 (4112) 23‒07‒41
Родничок, детский сад №8;;+7 (4112) 22‒55‒36
Оленёнок, детский сад №2;;+7 (4112) 21‒07‒72, +7 (4112) 21‒07‒70
Ромашка, детский сад №39;;+7 (4112) 36‒31‒86
Журавлик, детский сад №14;;+7 (4112) 43‒22‒01, +7 (4112) 43‒22‒37
Белочка, детский сад №52;;+7 (4112) 36‒44‒25, +7 (4112) 35‒01‒33
Кунчээн, детский сад №17;;+7 (4112) 40‒25‒56, +7 (4112) 40‒25‒57
Искорка, детский сад №84;;+7 (4112) 49‒76‒00, +7 (4112) 49‒76‒52
Ласточка, детский сад №90;;+7 (4112) 43‒31‒84
Кэскил, детский сад №51;;+7 (4112) 35‒50‒38, +7 (4112) 35‒50‒95, +7 (4112) 36‒47‒82
Мичээр, детский сад №82;;+7 (4112) 42‒38‒41, +7 (4112) 34‒05‒97
Якутяночка, детский сад №9;;+7 (4112) 45‒03‒67
Лучик, детский сад №79;;+7 (4112) 42‒26‒60, +7 (4112) 42‒00‒89
Кораблик, детский сад №27;;+7 (4112) 21‒82‒30
Ладушка, детский сад №104;;+7 (4112) 35‒15‒95, +7 (4112) 35‒15‒91
Северные звездочки, детский сад №15;;+7 (4112) 40‒23‒18
Улыбка, детский сад №43;;+7 (4112) 33‒61‒49
Золотая рыбка, детский сад №29;;+7 (4112) 43‒80‒78
Василек, детский сад №19;;+7 (4112) 22‒47‒83
Золотой ключик, детский сад №85 общеразвивающего вида с приоритетным осуществлением деятельности по познавательно-речевому развитию детей;;+7 (4112) 45‒20‒77, +7 (4112) 45‒36‒26
Сказка, детский сад №77;;+7 (4112) 43‒86‒16
Надежда, детский сад №20;;+7 (4112) 36‒81‒15, +7 (4112) 36‒80‒02
Зоренька, детский сад №95 с приоритетным осуществлением деятельности по художественно-эстетическому развитию детей;;+7 (4112) 44‒85‒12
Незабудка, МБДОУ, детский сад №97;;+7 (4112) 23‒05‒42, +7 (4112) 23‒14‒81
Улыбка, детский сад №12;;+7 (4112) 44‒79‒15, +7 (4112) 44‒73‒04
Белоснежка, детский сад №100;;+7 (4112) 49‒76‒61
Теремок, детский сад №33;;+7 (4112) 23‒19‒07, +7 (4112) 23‒02‒75
Росинка, детский сад №41;;+7 (4112) 35‒41‒20
Лесная сказка, детский сад;;+7 (4112) 402‒522, +7 (4112) 402‒523, +7 (4112) 402‒524
Прометейчик, детский сад №18;;+7‒914‒272‒21‒92
Мамонтёнок, детский сад №42;;+7 (4112) 33‒45‒16, +7 (4112) 33‒47‒12
Пушинка, детский сад №56;;+7 (4112) 35‒03‒44
Жемчужинка, детский сад №22;;+7 (4112) 40‒35‒16, +7 (4112) 40‒35‒27, +7 (4112) 40‒35‒21, +7‒914‒225‒06‒06
Брусничка, детский сад №96;;+7 (4112) 35‒33‒98
Лингва, детский сад;;+7 (4112) 32‒06‒18
Звездочка, детский сад №1;;+7 (4112) 44‒90‒26
Солнышко, детский сад №40;;+7 (4112) 35‒82‒59
Светлячок, детский сад №13;;+7 (4112) 20‒53‒01, +7 (4112) 20‒53‒92
Ивушка, детский сад №75;;+7 (4112) 36‒50‒93
Гномик, детский сад №15;;+7 (4112) 45‒94‒92
Детский сад №91 присмотра и оздоровления;;+7 (4112) 20‒53‒79
Подснежник, детский сад №102;;+7 (4112) 33‒08‒31
Солнышко, детский сад №81;;+7 (4112) 20‒42‒26
Тропинка, детский сад №61;;+7 (4112) 20‒42‒54
Остуоруйа Дойдута, детский сад;;+7 (4112) 40‒27‒28
Кэрэчээнэ, детский сад №70;;+7 (4112) 40‒92‒45, +7 (4112) 40‒92‒84
Снежинка, детский сад №4;;+7 (4112) 42‒67‒34, +7 (4112) 42‒66‒75
Ручеек, детский сад №1;;+7 (4112) 42‒62‒32
Чебурашка, детский сад №3;;+7 (4112) 42‒61‒72
Земляничка, детский сад №45;;+7 (4112) 33‒15‒06
Василёк, детский сад №2;;+7‒924‒897‒00‒07
Кэнчээри, детский сад №72;;+7 (4112) 20‒72‒89
Родничок, детский сад №103;;+7 (4112) 40‒82‒89
Мичээр, детский сад;;+7 (41143) 24‒310
Светлячок, детский сад;;+7 (4112) 20‒72‒35
Сказка, Нижне-Бестяхский детский сад общеразвивающего вида с приоритетным осуществлением оздоровительной деятельности познавательно-речевого развития воспитанников;;+7 (41143) 47‒543
Солнышко, детский сад;;+7 (41143) 47‒475
Сырдах, детский сад №4;;+7 (4112) 20‒72‒81
Лена, МБДОУ, детский сад;;+7 (41143) 24‒180
Городской специализированный дом ребенка;;+7 (4112) 405‒075, +7 (4112) 405‒041, +7 (4112) 405‒083, +7 (4112) 405‒071
Институт космофизических исследований и аэрономии им. Ю.Г. Шафера СО РАН;;+7 (4112) 39‒04‒00, +7 (4112) 39‒04‒50
Якутский научный центр СО РАН;;+7 (4112) 39‒05‒03, +7 (4112) 39‒05‒00, +7 (4112) 390‒501
Академия наук Республики Саха (Якутия);;+7 (4112) 33‒57‒11, +7 (4112) 33‒57‒10
Якутский НИИ сельского хозяйства им. М.Г. Сафронова;;+7 (4112) 21‒45‒74, +7 (4112) 21‒45‒72
Институт физико-технических проблем Севера;;+7 (4112) 39‒06‒00, +7 (4112) 33‒66‒08, +7 (4112) 33‒66‒65
Институт гуманитарных исследований и проблем малочисленных народов Севера СО РАН;;
Институт геологии алмаза и благородных металлов СО РАН;;+7 (4112) 33‒58‒64, +7 (4112) 33‒56‒59, +7 (4112) 33‒57‒08
Институт горного дела Севера им. Н.В. Черского СО РАН;;+7 (4112) 39‒00‒40, +7 (4112) 33‒59‒30
Институт биологических проблем криолитозоны СО РАН;;+7 (4112) 33‒56‒90, +7 (4112) 33‒57‒59, +7 (4112) 33‒58‒12
Институт мерзлотоведения им. П.И. Мельникова СО РАН;;+7 (4112) 33‒44‒76
ЯкутПНИИС, АО;;+7 (4112) 45‒22‒95
Государственный научно-производственный центр рыбного хозяйства, ФГБНУ;;+7 (4112) 33‒56‒05, +7 (4112) 33‒50‒16
НИИ математики, СВФУ им. М.К. Аммосова;;+7 (4112) 32‒14‒99, +7 (4112) 36‒43‒47
Научно-исследовательский институт А.Е. Кулаковского, СВФУ им. М.К. Аммосова;;+7 (4112) 49‒67‒54
Институт проблем нефти и газа СО РАН;;
Институт национальных школ Республики Саха (Якутия);;+7 (4112) 42‒94‒36, +7 (4112) 47‒25‒78
Арктический научно-исследовательский центр, Академия наук Республики Саха (Якутия);;
Арктический инновационный центр, СВФУ им. М.К. Аммосова;;+7 (4112) 32‒03‒89
Научно-исследовательский институт Олонхо, СВФУ им. М.К. Аммосова;;+7 (4112) 49‒68‒83
Нордэласт, инновационное предприятие;;+7 (4112) 357‒932
Станция низкотемпературных натурных испытаний, ЦКП СО РАН;;+7 (4112) 35‒88‒69, +7 (4112) 35‒84‒29
НИИ прикладной экологии Севера, СВФУ им. М.К. Аммосова;;+7 (4112) 49‒67‒27
Управление научно-исследовательских работ, СВФУ им. М.К. Аммосова;;+7 (4112) 49‒68‒60, +7 (4112) 35‒24‒76
Механохимические биотехнологии, ООО, малая инновационная научно-производственная компания;;+7 (4112) 49‒66‒21
НИИ региональной экономики Севера;;+7 (4112) 49‒67‒36, +7 (4112) 49‒67‒31
Зелёный Рай, салон цветов и флористики;;+7 (4112) 33‒52‒84, +7 (4112) 33‒50‒59
РОЗТОР, магазин товаров для дома и дачи;;
Дачник, магазин садово-хозяйственных товаров;;+7 (4112) 23‒50‒79
Дачник, магазин;;+7‒924‒662‒84‒12
Семена Плюс, магазин;;+7‒924‒660‒20‒48, +7 (4112) 45‒06‒95
Цвет-ок, цветочный магазин;;
Долина цветов, салон цветов и флористики;;+7‒914‒2‒703‒616, +7 (4112) 71‒16‒25, +7 (4112) 70‒36‒16
Раиса, магазин;;+7‒914‒293‒82‒31, +7‒924‒165‒28‒30
Магазин цветов и семян, ИП Лукьянова С.Н.;;+7‒914‒2‒707‒969
Компания по производству опилок, мульчи и цветной декоративной щепы;;+7‒914‒2‒701‒974
Дача.Огород.Якт, служба доставки земли, перегноя и опилок;;+7‒914‒2‒73‒41‒41
Детская школа искусств №2;;+7 (4112) 43‒61‒97, +7 (4112) 43‒64‒88
Детская музыкальная школа;;+7 (41143) 4‒77‒84
Детская школа изобразительных искусств им. Л.А. Ким;;+7 (4112) 45‒04‒14
Студия архитектуры и дизайна;;+7‒914‒229‒44‒01, +7‒964‒424‒87‒45, +7‒924‒762‒25‒85, +7‒964‒417‒48‒48
Художественная школа, АГИИК;;+7 (4112) 42‒11‒67
Средняя общеобразовательная школа №31 с углубленным изучением отдельных предметов;;+7 (4112) 35‒07‒13, +7 (4112) 35‒07‒75, +7 (4112) 35‒07‒98
Средняя общеобразовательная школа №7;;+7 (4112) 42‒08‒44, +7 (4112) 34‒21‒59, +7 (4112) 42‒26‒95
Национальная политехническая средняя общеобразовательная школа №2 с углубленным изучением отдельных предметов;;+7 (4112) 34‒39‒89, +7 (4112) 34‒50‒35, +7 (4112) 42‒50‒67
Средняя общеобразовательная школа №26 с углубленным изучением отдельных предметов;;+7 (4112) 42‒36‒73, +7 (4112) 42‒36‒63, +7 (4112) 42‒36‒60
Средняя общеобразовательная школа №23 с углубленным изучением отдельных предметов, МАОУ;;+7 (4112) 32‒78‒08, +7 (4112) 32‒81‒29, +7 (4112) 32‒78‒74, +7 (4112) 32‒79‒22
Средняя общеобразовательная школа №17;;+7 (4112) 32‒10‒63
Средняя общеобразовательная школа №21;;+7 (4112) 21‒70‒65, +7 (4112) 21‒70‒57
Средняя общеобразовательная школа №33 им. Л.А. Колосовой с углубленным изучением отдельных предметов;;+7 (4112) 43‒67‒89, +7 (4112) 43‒68‒04
Средняя общеобразовательная школа №3;;+7 (4112) 35‒08‒49, +7 (4112) 36‒21‒24
Средняя общеобразовательная школа №5 им. Н.О. Кривошапкина с углубленным изучением отдельных предметов;;+7 (4112) 34‒17‒57, +7 (4112) 42‒03‒91, +7 (4112) 34‒19‒01
Средняя общеобразовательная школа №15;;+7 (4112) 21‒03‒40, +7 (4112) 21‒03‒93
Средняя общеобразовательная школа №24 им. С.И. Климакова;;+7 (4112) 40‒20‒12, +7 (4112) 40‒20‒13, +7 (4112) 40‒20‒14, +7 (4112) 40‒20‒15
Средняя общеобразовательная школа №30 им. В.И. Кузьмина;;+7 (4112) 23‒07‒40, +7 (4112) 23‒07‒32, +7 (4112) 23‒07‒43
Средняя общеобразовательная школа №9 им. М.И. Кершенгольца;;+7 (4112) 22‒41‒92, +7 (4112) 22‒31‒80
Средняя общеобразовательная школа №20 им. Героя Советского Союза Ф.К. Попова;;+7 (4112) 32‒17‒67, +7 (4112) 35‒01‒96
Средняя общеобразовательная школа №29 с углубленным изучением отдельных предметов;;+7 (4112) 32‒45‒20, +7 (4112) 32‒43‒99
Средняя общеобразовательная школа №10 им. Д.Г. Новопашина;;+7 (4112) 21‒07‒76, +7 (4112) 21‒26‒03, +7 (4112) 21‒26‒02
Средняя общеобразовательная школа №16;;+7 (4112) 43‒92‒52, +7 (4112) 43‒90‒70, +7 (4112) 43‒92‒07
Средняя общеобразовательная школа №1;;+7 (4112) 42‒37‒81, +7 (4112) 43‒53‒27, +7 (4112) 42‒02‒57
Средняя общеобразовательная школа №25;;+7 (4112) 33‒47‒34, +7 (4112) 33‒44‒24, +7 (4112) 36‒53‒37
Основная общеобразовательная школа №18;;+7 (4112) 40‒50‒17, +7 (4112) 40‒50‒47
Саха-корейская средняя общеобразовательная школа;;+7 (4112) 42‒21‒34, +7 (4112) 42‒22‒65, +7 (4112) 42‒59‒19
Средняя общеобразовательная школа №27;;+7 (4112) 44‒80‒89, +7 (4112) 44‒86‒10, +7 (4112) 33‒21‒71
Специальная (коррекционная) основная общеобразовательная школа №22 (VII вида);;+7 (4112) 43‒94‒68, +7 (4112) 43‒90‒28
Средняя общеобразовательная школа №13;;+7 (4112) 44‒92‒88, +7 (4112) 44‒91‒31, +7 (4112) 44‒93‒88
Специальная (коррекционная) общеобразовательная школа VIII вида №4;;+7 (4112) 35‒17‒33, +7 (4112) 35‒43‒49
Средняя общеобразовательная школа №38 с углубленным изучением отдельных предметов;;
Средняя общеобразовательная школа №12;;+7 (4112) 33‒14‒26, +7 (4112) 35‒89‒65, +7 (4112) 47‒36‒51
Средняя общеобразовательная школа №19;;+7 (4112) 33‒07‒55
Личность, НОУ, частная школа;;+7‒914‒2‒734‒445
Средняя общеобразовательная школа №6;;+7 (4112) 33‒15‒06, +7 (4112) 33‒14‒24
Средняя общеобразовательная школа №32;;+7 (4112) 20‒52‒56, +7 (4112) 20‒59‒82
Мархинская средняя общеобразовательная школа №1;;+7 (4112) 20‒32‒65, +7 (4112) 20‒46‒95, +7 (4112) 20‒30‒08
Средняя общеобразовательная школа №35;;
Мархинская средняя общеобразовательная школа №2;;+7 (4112) 20‒42‒16
Центр образования ГО г. Якутск, МОБУ;;+7 (4112) 47‒21‒79, +7 (4112) 47‒29‒75
Хатасская средняя общеобразовательная школа им. П.Н. и Н.Е. Самсоновых;;+7 (4112) 409‒472, +7 (4112) 409‒282, +7 (4112) 40‒93‒75
Средняя общеобразовательная школа №1 городского округа Жатай, МБОУ;;+7 (4112) 42‒65‒36, +7 (4112) 42‒64‒38
Жатайская средняя общеобразовательная школа №2 им. Д.Х. Скрябина;;+7 (4112) 42‒73‒01, +7 (4112) 42‒62‒54
Тулагинская средняя общеобразовательная школа №30 им. П.И.Кочнева;;+7 (4112) 207‒254
Авторская основная школа А.И. Говоровой и Н.Н. Будищевой;;+7 (4112) 40‒21‒40
Табагинская средняя общеобразовательная школа;;+7 (4112) 40‒83‒98, +7 (4112) 40‒83‒44
Нижне-Бестяхская средняя общеобразовательная школа №1 с углубленным изучением отдельных предметов;;+7 (41143) 47‒609
Маганская средняя общеобразовательная школа;;+7 (4112) 40‒62‒27, +7 (4112) 40‒62‒36, +7 (4112) 40‒62‒38
Нижне-Бестяхская средняя общеобразовательная школа №2 с углубленным изучением отдельных предметов;;+7 (41143) 47‒427
Павловская средняя общеобразовательная школа;;+7 (41143) 24‒190
Якутский медицинский колледж;;+7 (4112) 22‒65‒26, +7 (4112) 22‒65‒29, +7 (4112) 22‒63‒42
Якутский музыкальный колледж им. М.Н. Жиркова;;+7 (4112) 42‒94‒16, +7 (4112) 42‒93‒76, +7 (4112) 42‒96‒15
Якутский педагогический колледж им. С.Ф. Гоголева;;+7 (4112) 44‒42‒02
Якутский колледж культуры и искусств;;+7 (4112) 40‒27‒42, +7 (4112) 40‒27‒43, +7 (4112) 40‒27‒41
Якутский колледж связи и энергетики им. П.И. Дудкина;;
Финансово-экономический колледж им. И.И. Фадеева;;
Якутская балетная школ им. Аксении и Натальи Посельских;;
Якутский торгово-экономический колледж потребительской кооперации;;
Якутский колледж технологии и дизайна;;+7 (4112) 35‒49‒75, +7 (4112) 43‒39‒52
Якутский индустриально-педагогический колледж;;
Юридический полицейский колледж, Якутский филиал;;+7 (4112) 21‒72‒90, +7 (4112) 21‒70‒13
Якутский колледж инновационных технологий;;
Якутский гуманитарный колледж;;+7 (4112) 35‒09‒68
Якутский сельскохозяйственный техникум;;+7 (4112) 34‒11‒94, +7 (4112) 34‒11‒35, +7 (4112) 34‒13‒76
Якутский технологический техникум сервиса;;
Якутский автодорожный техникум;;+7 (4112) 36‒94‒42, +7‒914‒2‒703‒013, +7 (4112) 36‒94‒58
Якутский коммунально-строительный техникум;;+7 (4112) 47‒40‒48, +7 (4112) 47‒42‒16, +7 (4112) 47‒42‒31
Жатайский техникум;;+7 (4112) 42‒73‒03, +7 (4112) 42‒64‒07, +7 (4112) 42‒64‒06
Транспортный техникум;;+7 (41143) 4‒77‒54, +7 (41143) 47‒449, +7 (41143) 47‒457
Республиканское училище (колледж) олимпийского резерва им. Р.М. Дмитриева;;+7 (4112) 33‒26‒94
Якутское авиационное техническое училище гражданской авиации, филиал ГУГА;;+7 (4112) 49‒53‒48, +7 (4112) 44‒30‒73, +7 (4112) 44‒32‒39
Якутское художественное училище им. П.П. Романова;;+7 (4112) 42‒85‒73, +7 (4112) 42‒82‒04, +7 (4112) 42‒82‒14
Холбос, республиканская общественная организация;;+7 (4112) 36‒21‒62
Подросток, Якутская городская общественная молодежная организация;;+7 (4112) 35‒45‒56, +7 (4112) 35‒14‒71, +7 (4112) 35‒45‒83
Эрчим, отделение социальной реабилитации;;+7 (4112) 40‒21‒78
Федерация профсоюзов Республики Саха (Якутия);;8‒800‒250‒20‒57, +7 (4112) 219‒331, +7 (4112) 219‒332
Союз многодетных семей, общественная организация;;+7‒924‒366‒44‒61, +7‒914‒297‒16‒80, +7 (4112) 42‒38‒40
Целевой фонд будущих поколений Республики Саха (Якутия);;+7 (4112) 39‒35‒00, +7 (4112) 42‒00‒75
Якутская республиканская организация профсоюза работников жизнеобеспечения;;+7 (4112) 42‒01‒33
Якутская городская организация Всероссийского общества инвалидов, общественная организация;;+7 (4112) 45‒36‒08, +7 (4112) 45‒24‒81
Всероссийское общество слепых, Якутская региональная организация;;+7 (4112) 40‒59‒66, +7 (4112) 40‒59‒80, +7 (4112) 40‒59‒69
Землячество Олекминского района Тумсуу, Якутская республиканская общественная организация;;+7‒924‒368‒14‒02
Центр по работе с волонтерами Республики Саха (Якутия);;+7 (4112) 422‒001
Феникс, общественная организация инвалидов;;+7‒914‒230‒46‒45, +7‒924‒766‒23‒32, +7 (4112) 26‒23‒32
Совет ветеранов Министерства сельского хозяйства и продовольственной политики Республики Саха (Якутия);;+7 (4112) 42‒18‒41
СОНТ Победа 2012;;+7‒914‒2‒707‒282, +7‒924‒568‒44‒38, +7‒914‒2‒726‒716
Якутское городское общество охотников и рыболовов им. охотоведа Сантаева В.Г., общественная организация;;+7‒924‒175‒71‒68
Первичная профсоюзная организация студентов, СВФУ им. М.К. Аммосова;;+7 (4112) 35‒25‒61
Северянка, общественная женская организация малочисленных народов Севера и Арктики;;+7‒924‒661‒21‒96
Общественная организация ветеранов (пенсионеров) войны, труда, Вооруженных сил и правоохранительных органов Республики Саха (Якутия);;+7 (4112) 21‒93‒76, +7 (4112) 21‒93‒75
Якутский республиканский профсоюз работников народного образования;;+7 (4112) 40‒52‒18, +7 (4112) 40‒52‒28, +7 (4112) 40‒52‒90, +7 (4112) 40‒52‒40, +7 (4112) 40‒52‒19
Союз художников Якутии, общественная организация;;+7‒924‒870‒46‒91
СоюзАвто;;+7 (4112) 47‒37‒37, +7 (4112) 47‒37‒71
Общероссийский народный фронт, общественная организация;;+7 (4112) 40‒22‒89
ЭйгЭ, центр экологического просвещения Республики Саха (Якутия);;
Якутская республиканская общественная организация профсоюза работников здравоохранения РФ;;+7 (4112) 40‒50‒49, +7 (4112) 40‒50‒97, +7 (4112) 40‒52‒78, +7 (4112) 40‒51‒29
Клуб веселых и находчивых Республики Саха (Якутия), официальное подразделение телевизионного творческого объединения АМиК и Международного союза КВН в Республике Саха (Якутия);;+7‒914‒303‒25‒00
Эгида, общество защиты прав потребителей;;+7‒968‒161‒29‒99
ФИНПОТРЕБСОЮЗ, союз защиты прав потребителей финансовых услуг;;+7 (4112) 21‒93‒69
Якутский республиканский комитет профсоюза работников природно-ресурсного комплекса РФ;;+7 (4112) 42‒31‒72, +7‒924‒861‒05‒55
Союз писателей Якутии, общественная организация;;+7 (4112) 32‒50‒72, +7 (4112) 34‒28‒99
Якутская республиканская организация профессионального союза работников агропромышленного комплекса РФ;;+7 (4112) 40‒33‒05, +7 (4112) 40‒33‒73
Профсоюз работников торговли и общественного питания Республики Саха (Якутия);;+7‒924‒165‒92‒12
Общероссийский профсоюз авиационных работников, Якутский республиканский комитет;;+7 (4112) 42‒12‒37, +7 (4112) 42‒36‒70
